Title,Description,Values
personel giderleri genel müdürlük personel raporu,i̇nsan kaynakları kullanıcısı i̇pek özkan dan gelen talebe istinaden genel müdürlük personel raporu nda hata olduğu tespit edilmiş ekte belirtmiş olduğum ekran görüntüsünde soldaki sütunda raporun oluşturduğu veriler sağdaki sütunda olması gereken manuel toplama ait olan veriler yer almaktadır kontrolünüzü rica ederiz,0
bilanço sorusu,bilanço modülünde bilanço manuel giriş ekranından aralık dönem sonu giriş yaptık fakat sayfanın çalışma mantığını tam çözemedik bilanço sonuc ekranında dönem net karı milyon bir rakam çıkıyor milyonlarda olmalı ayrıca ticari borclardaki urun borclari yerli beklentimizden farkli geliyor iki kalemi girmedik sistem sanırım kendisi hesaplayıp getiriyor sonuc olarak toplam bilanco tutmaz durumda ekten gorebilirsiniz,0
araç giderleri,araç giderleri tanımlama sayfasına tz araç olarak bir araç tanımladım tanımlamayı akaryakıt giderleri skala eşleştirme akaryakıt giderleri sonuç araç kiralama giderleri hesaplama sayfalarına tanımlamanızı rica ederim,2
parametreler yeni kalem ekleme,ibm cognos tm içerisine parametreler alanına terkin edilmiş alacaklar katılım havuzlarından alacaklar kalemlerinin eklenmesi gerekmektedir,2
yeni yatırımlar raporu,pelin bilançodaki duran varlıklar sabit kıymetler maliyet rakamının detayı nereden akıyor an orada değerleri görebiliriz konuda yardımcı olabilir misiniz,3
eticaret yurtdışı satışları,satış bütçesi modülünde yer alan aylık satış raporundaki rakam diğer gelirler ürünle ilgili adıyla başlayan modülünde gelirsiz ciro net satış tutmamaktadır konu ilgili alınan hataya ait ekran görüntüsü ektedir,0
reklam tanıtım giderleri,reklam tanıtım giderleri modülü içerisinde yer alan reklam tanıtım giderleri sonuç sayfasındaki toplam reklam tanıtım giderleri raporlar modülünde kar zarar tablosu sayfasında yer alan reklam tanıtım giderlerinin toplamları birbirleriyle tutmamaktadır yardımınızı rica ederiz,0
t kur bilgisi talebi,ibm cognos tm kur verilerinde t kur bilgisi bir önceki günü değil bir önceki ay sonu kur bilgisini getirmektedir bilgilerinize sunarım saygılarıma,0
depo stok yonlendirme datası,ekli datayı sisteme yükleyemiyoruz yardımcı olabilir misiniz stok modülü depo stok yonlendirme ekranı,0
mali tablo uyumsuzluğu,yılı mali tablo verileri uyumsuz görünmekte olup kasım aralık bilgileri sisteme gelmemektedir bilgilerinize sunarım,0
cognos budget uyumsuzluğu,cognos budget sekmesinde aktif pasif uyumsuzluğu meydana gelmiş olup bilgilerinize sunarız,0
celal karayaka kullanıcı hatası,celal karayaka kullanıcısı test yapmak istediğinde ekteki hata almaktadır sahiplik boş olmasına rağmen sahiplik alınamamaktadır,0
ticari stok açılış girişi,pelin ekteki dosyanın cognos a girişi rica etsem yardımcı olabilir misin,2
bd raporu hatası,bd raporunda eşlemesi yapılıp bakiyesi gelmeyen budget uyumsuz görünen hesap eşleşme örneği ektedir gereği bilgilerinize sunar,0
sgs data,pelin ekli sgs datasını içeri atabilir misin,2
net satışlar hatası,eticaret pazaryeri ciroları bozulmuştur raporlar sayfasındaki net satışlar diğer gelirler ürünle ilgili modülünde satışlar birbiriyle tutmamaktadır kontrolünüzü rica ederiz,0
kar marjı hata,kar marjı hatalı gelmektedir kontrolünüzü rica ederiz,0
ticari mal stokları alış kdv oranı,ticari mal stokları sonuç ekranında alış kdv oranını seçtiğimizde ürün grubuna göre değişen rakamların nereden aktığını öğrenebilir miyiz rica etsek rakamlarda değişiklik yapıp yapamayacağımızı öğrenmek istiyorduk,3
ticari mal stokları,ticari mal stoklarına ait değişiklikleri anlık görebilmek adına sistemi çalıştırmanızı rica ederiz,3
hizmet borçları ekranı,ekte paylaşmış olduğum ekranda yer alan hesaplama başlığı altındaki bir sonraki ayda ödenen ilgili satırlardaki rakamlar nereden akmaktadır bir hesaplama sonucu oluşmuştur desteğinizi rica ederim,3
kar zarar tablosu güncellenmesi,raporlar modülü içerisinde yer alan kar zarar tablosu sayfasını çalıştırmanızı rica ederim,2
personel giderleri,personel giderlerinde aralık aralığında hangi kalemlerin tutarda değiştiğine bakabilir misiniz,3
bilgi işlem giderlerine ait toplam hatası,raporlar modülü içerisinde kar zarar tablosu sayfasında toplam masraf merkezi bazında bilgi işlem giderlerinin toplamı hatalı gelmektedir hataya ait olması gereken toplam ekte belirtilmiştir,0
yılı dk eşlemesi,yılına ilişkin dk eşlemelerinin aynı olacak şekilde tanımlanmasını talep ederiz dileriz,2
personel giderleri değişklik,personel giderlerinde aralık aralığında hangi kalemlerin tutarda değiştiğine bakabilir misiniz hangi kalem ekran olduğunu bilmiyoruz,2
yurt dışı verilerinin görünümü,yurt dışı verilerin kaynağı değiştikten sonra yurt dışı şube rakamlarının mizan ürüne gelmediği görülmektedir konu ilgili yardımlarınızı talep eder,0
ti̇cari̇ mal stok sdhnew,pelin ekteki stokları direkt olarak cognos a atabilir misin rica etsem,2
p l vadelendirme kdv sayfası,bilanço nakit akış modülü içerisinde yer alan p l vadelendirme kdv sayfasını çalıştırmanızı rica ederim ekran görüntüsü ektedir,2
veri girişi kümüle try,veri girişi kümüle orj verileri kümüle try olarak alınmak istendiğinde rakamlar sıfırlanmaktadır bilgilerinize sunarım,0
kullanıcı iptali,aşağıdaki kullanıcıları iptal edebilir misiniz ticaret direktoru can karadeniz gamze paket cognos test sonrasında kalan kullanıcıların listesini iletebilir misiniz,2
bütçesi finansman giderlerinin bozulması,bütçesindeki finansman giderleri kalemi bozulmuş gözüküyor ekte olması gereken rakamları paylaşıyoruz rica etsek düzeltilmesi konusunda yardımcı olabilir misiniz,0
id no lu ticket ın devamı,yanlışlıkla numaralı ticket ı kapattığımız onun devamı niteliğinde yazıyorum bilanço üzerinde birçok deneme yanılma yoluyla düzeltme yaptığımız an bunun nereden etkilendiğini bulmamız imkansız duruyor önceden paylaşmış olduğumuz olması gereken rakamlara göre düzeltme yapabilir misiniz lütfen,2
mizan küpü yurtdışı verilerinin gelmesi,mizan küpüne yurtdışı verileri gelmemektedir entegre edilmesini talep ederiz,0
cognos kullanıcı değişikliği,i̇dari i̇şler gökhan dağ ın cognos yetkisinin mehmet erul a devredilmesini talep ederiz,2
çapraz kontrol,mali tablolar bütçe plan arasında çapraz kontrol aktif mali tabloda aktif toplamdan bankalar yurtdışı düşülecek pasif mali tabloda pasif toplamdan cari hesaplar altındaki bankalar yurtdışı düşülecek net kâr,2
yurtdışı mizan ürün,yurtdışı verilerinin mizan ürün küpüne getirilmesini talep ederiz,2
mali tablo kontrol,mali tablo kontrole gayrinakdi kredi gelir tablosu kalemlerinin eklenmesini talep ederiz,2
yurtiçi yurtdışı ayrımı,budget küpünün bağımsız denetim raporu küpünde olduğu yurtiçi yurtdışı olarak ayrıştırılmasını talep ederiz kümülatif try kümülatif yp usd elementleri ayrım yapılması yeterlidir,2
sistematik kontrol,dk eşleşmesi yapılmamış olan hesapların otomatik tespit edilmesini sağlayacak yapının kurulmasını talep ederiz,2
şube boyutu hata bildirimi,i̇nşaat müdürlüğü all members dediği halde bağdat şubesini göremiyor ayrıca şube boyutunda yapılan düzenleme bozulmuş görünüyor,0
ortalama bakiyeler,dwh tarafında değişen ortalama tablosunun cognos içerisine tekrardan uyarlanmasını talep ederiz yurtiçi yeni tablo adı cgns_mizan_kumulatif_ort yurtdışı yeni tablo adı cgns_mizan_kumulatif_ort_yd,2
bütçe aktarım küpünde gerçekleşen bilgisi gelmiyor,bütçe aktarım küpünde gerçekleşen bilgisi gelmiyor,0
cari dönem seçilemiyor,cari dönem ay bilgisi seçilemiyor,0
bağımsız denetim raporu,bağımsız denetim raporu ndaki meblağlar eksi olarak görünmektedir ekran alıntısı ektedir yardımlarınız bilginize sunulur,0
mizan yurtdışı try hatalı,mizanda yurtdışı şubelerden gelen verilerde orj try karşılığı eşit görünüyor orj bakiye doğru ancak tl karşılığı hatalı gelmiş örnek dk i̇ş zekası tl karşılığı bilgisini doğru gönderdiğini teyit etti ancak cognos mizan ürüne doğru yansıdığı halde mizana doğru yansımıyor,0
hata,hatanın detayı ekte belirtilmektedir,0
yetki devri,hamza yağan ın cognos yetkisinin bütçe yönetiminde göreve başlayan mustafa arslan a devredilmesini talep ederiz,2
yurtdışı mizan iş zekası uyumsuz,i̇ş zekasının çıktığı yurtdışı mizan cognosun içerisine alınan yurtdışı mizan uyumsuz ay sonları itibariyle tutuyor ancak ay içerisinde fark var sistem güncelleme yaparken yurtdışını güncellemiyor olabilir itibariyle farklar ekte,0
budget küpü görüntü hatası,ekte görüldüğü üzere yurtiçi bilgileri cari dönemde sifir görünüyor ancak cari dönem önceki aylara bakıldığında bir problem yok önceki geçmiş dönemler doğru geliyor,0
i̇lk durumuna getirme formatı,i̇lk durumuna getir dediğimizde veri ambarı dk eşleme küpü ana hesap planı boyutu default olarak çalışan hesaplar seçili gelsin lütfen mevcutta hesap kırılımı olarak geliyor ayrıca normalde hesap kırılımı çalışan hesaplar aynı elementlere sahip olması gerekirken aynı değil doğru olanı çalışan hesaplar,0
update saatinin güncellenmesi,update saatinin sabah olarak güncellenmesini talep ederiz,2
budget mizan ürün uyumsuzluğu,ekte görüldüğü üzere yurtdışı verilerde budget mizan ürün arasında tutarsal uyumsuzluk bulunmaktadır,0
i̇ş ailesi alt hiyerarşi gelmiyor,ekte görüldüğü üzere başekonomistlik katılım bankacılığı i̇lkeleri murakabe başkanlığı hiyerarşi görünmemektedir hiyerarşi genel müdürlük altında görülecek şekilde düzeltilmesini talep ederiz,2
yetki talebi,kurumumuz stratejik planlama müdürlüğü kurumsal performans yönetimi servisi nde görev almakta olan sicil numaralı sn cüneyd taş cognosa bütçeye hedef gerçekleşme erişim yetkisi talep etmekteyiz yardımlarınızı rica eder kolaylıklar,2
ham mizanda görüntü hatası,budgeta bilgiler doğru gelmesine rağmen ham mizanda görüntü hatası yaşanmaktadır yardımlarınızı talep etmekteyiz,0
ham mizan budget küpündeki hatalar,budget ham mizan küplerinde yaşanan hataların kaynaklarını ekte görebilirsiniz yardımlarınızı rica ederiz saygılarımla,0
bütçe aktarım küpü gerçekleşme verileri,bütçe aktarım küpünde gerçekleşen boyutunda veriler boş gelmekte yardımlarınızı rica eder kolaylıklar,0
sistem çalışma saati,mevcut durumda çalışan sistemimizin otomatik olarak çalışmasını talep etmekteyiz saygılarımla,2
gider yatırımların takibi,ekte bir örneğini görebileceğiniz çalışmamızın kurumumuz birimlerinin işletme gider yatırımlarını aktivite bazlı takibinin sistemden yapılabilmesi yardımlarınızı rica ederiz saygılarımla,2
yetki talebi,yatırım bankacılığı müdürlüğü nden sn zeynep memiş budget küpünü göremiyor budget küpüne aşağıda belirtilen kalemlere görme yetkisi verilmesini talep etmekteyiz aynı zamanda gider yatırım uygulamasında bütçe planlama küpü içerisinde yukarıdaki kalemler write yetkisi istiyoruz sendikasyon kredileri hazine fonlarının altında i̇hraç edilen menkul kıymetler hazine fonlarının altında sermaye benzeri kredi kp giderleri hazine fonlarının altında sukuk kp giderleri hazine fonlarının altında saygılarımla,2
birimlerin yetkililerinin değer görüntülemeleri,ekteki dosyada birimlerimizin tarihi itibariyle bütçe gerçekleşme durumu mevcuttur ekli çıktıyı cognos dashboard olarak ilgili birimin bütçe sorumlularına gösterebilmek yardımlarınızı rica ederiz saygılarımla,2
birim yetkililerinin bütçe gerçekleşme durumunu görüntüleyebilmesi,ekteki dosyada birimlerimizin tarihi itibariyle bütçe gerçekleşme durumu mevcuttur ekli çıktıyı cognos dashboard olarak ilgili birimin bütçe sorumlularına gösterebilmek yardımlarınızı rica ederiz saygılarımla,2
budget kümülatif yp usd yanlış veri getirmesi,ekte görülebileceği budget küpü nde kümülatif yp usd boyutundan gelen veriler tarihine kadar doğru gelmekteyken tarihinden itibaren yanlış gelmektedir tarihinden itibaren yp usd değerleri negatif olarak yansımıştır bilginize sunar gereğinin yapılmasını rica ederiz,0
cognos kullanıcı değişikliği,cüneyt bey tedarik zinciri departmanı kullanıcısı furkan nebioğlu nun yetkisini buse demir e bilgi i̇şlem departmanı kullanıcısı cem solmaz ın yetkisini emre tanrıverdi ye tanımlamanızı rica ederim,2
araç giderleri,mm ine tanımlanan araç kiralama gideri sonuç ekranına yansımamış görüyoruz kontrolünüzü rica ederiz,0
mm,ggsob masraf merkezinin tanımlanmasını rica ederiz,2
net satışların smm nin manuel girilebilmesi aci̇l,net satışların smm nin mm ay bazında copy paste manuel içeri atılabilmesini rica ederiz net satışlar smm hariç diğer topline kalemleri diğer gelirler indirimler ürün dışı gelirler sistemde aynen eskisi girilebilmelidir toplam gelir brut kar sistemde otomatik hesaplanmalıdır talep önceliklidir uzun sürecek midir bunu yapmak iletişimde olabilirsek seviniriz,2
smm hatası,geçmiş bütçede ticaretin hesapladığı smm raporlara farklı yansıyordu ancak hatayı an düzeltmeli miyiz emin olamadım bildiğiniz smm net satışları manuel olarak içeri atma talebimiz var diğer yandan manuel atma geliştirmesi yapıldığında raporlara sonuçların hatasız akmasını sağlamamız gerekir,0
stok sgs manuel atma,sistem stok sgs leri kendi hesaplamasın bizler içeriye manuel olarak değerleri atabilelim isteriz yanılmıyorsam geçmiş bütçe döneminde bunu mümkün kılmıştık bir şekilde ancak an durum nedir emin değiliz kontrolünüz ricasıyla,2
fiş sayıları,sistem fiş sayılarını an kendi hesaplıyor ambalaj giderleri buradaki formülü lütfen kıralım bizler mm ay bazında fiş sayılarını kendimiz manuel içeri atabilelim isteriz,2
sosyal medya gelirleri,sosyal medya gelirleri hesabını aşağıdaki tanımlayabilir misiniz diğer gelirler ürün dışı ana hesabının altında marketing departmanı gelirleri ara hesabının altına sosyal medya gelirleri hesabını aşağıda belirtmiş olduğum sayfalara tanımlamanızı rica ederim raporlar modülünde kar zarar tablosu kar zarar tablosu sayfalarına diğer gelirler ürün dışı modülünde diğer gelirler manuel giriş ürün dışı diğer gelirler sonuç sayfalarına bilanço nakit akış modülünde p l vadelendirme kdv sayfasında,2
yapıştırma sorunu,explorer chrome üzerinden cognos a kopyala yapıştır yapabilmeyi isteriz diğer yandan kullanıcılar geçmiş bütçe döneminde explorerda chromeda copy paste yapamıyorlardı zaman zaman neriman kasap kullanıcısına oldu durum uzun sürecek zor bir talep midir iletişimde olursak seviniriz,0
bilanço,bilançoda aşağıdaki bekleme sürelerini iyileştirebilir miyiz i̇lk modüle giriş yaptıktan sonra giriş yapacağımız sayfaya giriş süremiz dakika aralığındadır herhangi bir veri girişi yapılmadı veri girişi yapıldığında bekleme süremiz dakikadır giriş yaptığımız sayfada bilanço hesaplama türünü değiştirdiğimizde bekleme süremiz dakikadır bunların dışında bilanço manuel giriş sayfasının adı değişip bilanço manuel giriş sayfasının sonuç ekranı olarak değiştireceğimizi bilanço liste giriş ekranının giriş ekranı olacağına dair önceki toplantılarımı,0
temmuz bütçesi giderler yapısı,temmuz bütçesinde giderler şunu rica ediyoruz ocak haziran döneminin ilk bütçe değerleri otomaitk gelmeli gri renkte olmalı değiştirilememelidir temmuz aralık döneminin ilk bütçe değerleri gelmeli ancak beyaz renkte olmalı değiştirilebilmelidir,2
fon komisyonları,raporlarda fon komisyonları hesabını incelediğimizde belli aylarda ekte belirtmiş olduğum farklar yer almaktadır bütçe sürecimiz başlamadan kontrolünüzü rica ederiz,0
kurumlar vergisi,raporlardan kurumlar vergisi hesabını incelediğimizde yıllıkta tl fark oluştuğunu gördük elimizde bütçe kitapçığına dair aylık kırılım olmadığı total rakam üzerinden size doküman paylaşıyorum bütçe dönemi öncesi kontrol edebilir misiniz,0
kapalı masraf merkezlerinin giriş sonuç ekranlarından kaldırılması,önceki yıllarda kapatmış olduğumuz mağazalar veri girişi sonuç ekranlarında gözükmektedir yıl bütçe yaparken masraf merkezleri ekranlarda yoktu masraf merkezlerinin bütçe dönemi başlamadan kaldırılmasını rica ederiz bursa nilüfer kapali i̇zmir çiğli kapali viaport kapali i̇zmit burda kapali yeni kapali yeni kapali yeni kapali i̇nsan kaynakları,2
cognos geliştirme talebi,dönemsel olarak yaşanılan problemlerimizin giderilmesi adına aşağıdaki taleplerimizin uygulanmasını rica ederiz bağımsız denetim raporu küpünde yurtiçi tutar dbo cgns_denetleme_mizan tablosundan beslenecek yurtdışı tutar dbo cgns_denetleme_mizan_yd tablosundan beslenecek konsolide yukarıda belirtilen değerin toplamından oluşacak alanın dışında kalan yeni bir alana ihtiyaç yoktur dolayısıyla yeni elementli yeni bir tutar boyutu burada bizim yeterli olacaktır budget küpünde mevcut yurtdışı elementine ek bilgi olarak yurtdışı_cmzan elementi ekle,2
sunucu erişim problemleri,kurumumuza ilgili konularda yardımcı olunabilmesi intellium tarafından cognos yetkilisi olarak yetkilendirilmiş çalışanların önce ara ara yaşadıkları uzaktan erişim sorunları yaklaşık olarak hafta kadar devam etmiş mayıs tarihi itibari sorun saptanmış çözümlenmiştir scb sunucusu üzerinde tm sunucusuna geçerken ip numarası değil isim geçiş yapılıyor yeni bir bağlantı ihtiyacı olur şekilde geçiş yapılacak,3
veri giriş sonuç ekranlarında versiyonların revize olarak açılması,mevcutta modüllerimiz veri girişi sonuç ekranlarının versiyonları bütçe olarak gözükmektedir hataların yaşanmaması adına versiyonların hepsini revize olarak yapabilir misiniz,0
yılı verileri,cüneyt bey obp raporu hazırlıkları yıllarına ait verilere ihtiyacım var kısa süreliğine sisteme yıllara ait verileri getirebilir misiniz,2
güncelleme i̇şleminden sonra mizan verilerinin hatalı gelmesi,uygulamayı manuel olarak güncelledikten dk eşleme i̇şlemi güncelleme yapıldıktan sonra otomatik güncelleme işlemi yapılana kadar yurtdişi_tutar_try mizan verileri hatalı gelmektedir bilginize,0
bağımsız denetim raporu,bağımsız denetim raporunda iii satiş amaçli elde tutulan durdurulan faali̇yetlere i̇li̇şki̇n duran varliklar net satış amaçlı kaleminde bulunan duran varliklar değer düşüş karşiliği t p hesabın eksi olarak çalışmasını talep ederiz saygılarımızla,2
bağımsız denetim raporu gayri̇maddi̇ haklar amorti̇smani,vi maddi̇ olmayan duran varliklar net diğer kaleminde yer alan gayri̇maddi̇ haklar amorti̇smani hesabının eksi olarak ayarlanmasını talep ederiz saygılarımızla,2
yeni hesap tanımlanması,reklam tanıtım giderleri ana hesabının altında yer alan crm iç görü giderleri ara hesabının altına hopi verilen paracıklar giderleri hesabını tanımlayabilir misiniz tanımlanmasını istediğimiz sayfalar reklam tanıtım giderleri modülü içerisindeki giriş sonuç sayfası raporlar modülü içerisindeki kar zarar tablosu kar zarar tablosu kar zarar tablosu bölge bölge grup bilanço nakit akış p l vadelendirme kdv,2
fiş sayıları,ambalaj malzemesi giderleri modülünde fiş sayılarının bütçesi gelmemektedir fiş sayılarını bugün geç öğlene kadar mağaza ay kırılımlı olarak atabilir misiniz,0
eşleştirmeler ekranı,eşleştirmeler modülünde pl reel mm eşleştirme modülünde ocak temmuz tarihlerine ait gri alanların beyaz olarak değiştirmenizi rica ederim,2
bağımsız denetim rapru v maddi̇ duran varliklar net,bağımsız denetim rapru v maddi̇ duran varliklar net menkuller amorti̇smani gayri̇menkuller amorti̇smani ki̇ralamalara i̇li̇şki̇n geli̇şti̇rme mali̇yetleri̇ amorti̇smanlari kullanim hakki olan menkulleri̇n amorti̇smani kullanim hakki olan gayri̇menkulleri̇n amorti̇smani elden çikarilacak kiymetler amorti̇smani elden çikarilacak kiymetler hesaplarının eksi olarak tanımlanmasını talep ederiz,2
amortisman giderleri önemli̇,amortisman giderlerine ait bütçe kalemlerini masraf merkezli olarak kontrol ettiğimizde ekte belirtmiş olduğumuz farkları gördük farklılığın nereden kaynaklandığını paylaşabilir misiniz hafta içerisinde konuyu halletmemiz gerekmektedir,0
torium mağaza,torium mağazayı skala girilen ekranlarda göremedik sebebi olabilir örneğin ambalaj bt giderlerinde mağaza skala atamada çıkmıyor,0
araç tanımlaması,araç giderlerinde atanur boduroğlu hakan başer masraf merkezli iki araç tanımladık ancak araç kiralama sayfasına akmamaktadır kontrol etmenizi rica ederim,0
tedarik zinciri kullanıcı,tedarik zinciri departmanı kullanıcısı buse demir in ekranında modüller gözükmemektedir yardımcı olabilir misiniz,0
torium mağazası hatası önemli̇,torium mağazasının kapanış tarihini mağaza açık kapalı güncellemesini yapmamıza rağmen sonuç sayfasına rakamlar akmamaktadır i̇vedi kontrollerinizi rica ederim,0
diğer gelirler,diğer gelirler kaleminde ilk bütçemizde milyon tl bir tutar vardı ay an raporlara yaklaşık milyon bir tutar yansıyor desteğinizi rica ederiz,0
yeni mağazaların açılış tarihlerinin değişmesi,cognos ta revize bütçe sürecinde yeni mağazalarda açılış tarihlerini değiştirdiğimiz mağazaların isimleri ektedir,2
uzun vadeli finansal borçlar,bilançoya uzun vadeli finansal borçlar hesbaını tanımlayabilir misiniz kısa vadeli yükümlülüklerden hemen sonra gelebilir teşkekürler,2
yeni mağazaların açılış ayı giderleri,yeni mağazalarda şehir içi ulaşım giderleri hesabında açılış ayı masrafları sonuç ekranına yansımamaktadır kontrol edebilir misiniz,0
kargo giderleri,ekte belirtmiş olduğum yeni mağazaların açılış tarihini sistemde değiştirmeme rağmen açık olmayan aylarda kargo gideri oluşmaktadır kontrolünüzü rica ederim,0
organizasyon yapısı güncellemeleri,banka organizasyon yapısında meydana gelen değişimlerin cognos sistemine uyarlanması amacıyla ekte bulunan dosyaya göre yeni iş ailesi şemalarının müdürlük isimlerinin düzenlenmesi gerekmektedir,2
aktivite açıklaması küpünün oluşturulması,gider yatırım bütçesi uygulamasında gider bütçesi yatırım bütçesi bütçe plan küplerinin yanına aktivite açıklaması başlığında yeni bir küp eklenmesi küp aracılığıyla bütçe girişi yapan müdürlüğün büyük montanlı giderlerinde açıklama yapma olanağının sağlanması hedeflenmektedir konu ilgili detaylar ekte bulunan excel dosyasından görüntülenebilir,2
element ekleme i̇şlemi,online eğitim giderleri dk numarası bütçe hesap planı alanında egitim diger giderler olarak tanımlanmıştır i̇lgili alanda dk eşlemesi yaparken online egitim giderleri dk isminin seçilebilmesi elementin tanımlanması gerekmektedir,2
geçmiş yıllarda bütçe verileri girme hatası,kullanıcıların geçmiş yıllarda veri değişikliği yapma yetkisi olmamasına rağmen bütçe verisi girebildikleri gözlemlenmiştir yetkisiz kullanıcıların geçmiş yıllar verilerinde değişiklik yapmasının engellenebilmesi müdahale gerekmektedir,2
dk eşleme i̇şlemi element tanımlama,di̇ğer dk numarası bütçe hesap planı alanında kredi kartlarına verilen ücret komisyonlar olarak tanımlanmıştır i̇lgili alanda dk eşlemesi yaparken diğer komisyonlar dk isminin seçilebilmesi element isminin tanımlanması gerekmektedir,2
görüntüleme yetkisi,bankamız eğitim kariyer müdürlüğü çalışanlarından sicil numaralı mehmet çelikpençe nin bütçe planlama sayfasında budget küpünde eğitim giderleri alanını görüntüleyebilmesi yardımlarınızı rica ederiz,2
test,colin s bakım destek sözleşmesi kullanıcı tanımlama testi,2
ik modülü dönem boyutu,tarihli mail ik modülü dönem boyutu,2
ik modülü zam dönemi,tarihli mail ik modülü zam dönemi,2
seyahat modülü dönemler,tarihli mail_seyahat modülü dönemler,2
kalem i̇sim değişikliği,ekli dosyada görüntülenebileceği şekilde vii sermaye piyasası k z kaleminin alt kırılımları olan sermaye piyasası karı sermaye piyasası zararı kalem isimlerinin yeni isimleri değiştirilmesi gerekmektedir,2
kapalı mağazalara gelen amortisman gideri,sedat bey kira kitapçığında mağaza bilgiler kısmına mağazalara ait kapanış tarihleri girildi ancak amortisman giderlerinin kapalı mağazalara geldiğini görüyoruz moscow vegas kuntsevo s ru cn özelinde kontrol sağlayabilirsiniz mağaza tarihinde kapandı ancak amortisman giderleri aylık olarak gelmeye devam ediyor i̇lgili mağaza özelinde ekran görüntüleri paylaşılmıştır konu hakkında yardımlarınızı rica ediyoruz,0
prim hesaplamaları,yılında prim hesapalamaları gelmemektedir sorunun kaynaklandığını kontrolünü rica ederiz önce ukrayna prim hesaplaması ilgili emre saka nın maili vardı konu hakkında yardımlarınızı rica ederiz,0
yeni açılan mağazaların maliyet merkezi,sedat bey rusya özelinde yeni açtığımız mağaza departmanlarını tanımlamalar kısmında oluşturduk boyutları güncelledik ancak işlemden sonra tanımladığımız departmanlar diğer modül kitapçıklara gelmedi diğer modül kitapçıklara gelmesi yardımlarınız rica ediyoruz tanımladığımız departmanlar şekilde s ru st s ru cn s ru cn s ru nw,0
diğer aktif hesaplar tp yp verilerinin düzenlenmesi,ekte görülebileceği diğer aktif hesaplar altında bulunan dk numaralı hesaplar birbirlerini sıfırlayacak şekilde bilanço verilerine yansımaktadır ancak verilerden dk numaralı pozitif bakiye yp cinsinde gelirken dk numaralı negatif bakiye tp cinsinde geldiği analiz raporlarının sağlıklı olarak yorumlanmasına engel oluşturmaktadır yp bakiyesi artarken tp bakiyesi azalıyor önce açılan talep gereğince yılı numaralı dk lara gelen bakiyeler tp verilerine taşınmıştır önceki yıllarda bulunan dk ların yp bakiyelerinin tp para cinsine ta,0
bütçe temsilcisi görev değişikliği,i̇dari i̇şler satın alma müdürlüğü bütçe temsilcisinde görev değişikliği olmuştur mevcut sistemde tanımlı bulunan mehmet erul un yetkilerinin oğuzhan kaya devri yardımlarınızı rica ederiz,2
kullancı şifre değişimi,bekleyen işlemler arasında yer alan yönetici ekranında istemiş olduğumuz kullanıcı yetkilendirme oluşturma şifre sıfırlandırma alanların açılmasını rica ediyoruz mevcut zaman içinde zaman alacak çalışmayı bitirene kadar sizlere kullancıı isimlerini paylaşarak ilerleyebiliriz,2
sedat gökçek bey kullanıcı oluşturma uzaktan erişim talepleri,sedat gökçek bey intel sedat gokcek kullanıcısı oluşturulmuş gerekli sunucularda işlem yapabilmesi adına uzaktan erişim talep test çalışmaları yapılmıştır,2
segment şube bazlı verilerde yaşanan hataların giderilmesi,segment şube bazlı veri kontrollerinde yaşanan hataların giderilmesi verilerin kontrol edilmesi gerekmektedir,0
günlük sistem kontrolleri,ticket cognos sisteminin standart kontrolleri yapılan çalışmaların günlük eforlarının kayıt altında tutulabilmesi adına açılmıştır,2
ukrayna dağıtılan giderler,ukrayna nisan ayı fiili kontrollerini yaparken merkez perakende giderlerinin dağıtımında farklılklar olduğunu gördük yönetim raporlarıdan performans tablosu kanal kısmına gelen dağıtım giderleri giderler performans tablosuna gelen tutarlarda farklılık gösteriyor giderler performans tablosuna gelen tutarlar doğru tutarlardır bir örnekle açıklama gerekirse performans tablosu kanal kısmında perakende yönetim giderleri giderler performans tablosuna gelen seyahat araç yakıt dağıtımın doğru yapılması inside üzerinden dağıtılacak giderle,0
ukrayna yeni boyut tanımlası,ukrayna lebutik int ua boyutunun e bayi olarak tanımlanmasına rağmen satış bütçesi giriş ekranına gelmediğini görüyoruz nedenle bütçe girişi yapılamıyor tanımlamalar ekranı ektedir boyut tanımlaması yapıldıktan sonra boyut hiyerarşisi güncellenip mizanı aktar işlemleri yapılmıştır i̇lgili boyutun satış bütçesi giriş ekranına gelmesi yardımlarınızı rica ediyoruz rusya yeni mağazalar boyut tanımlaması yapıldığında herhangi bir sorunla karşılaşmadık bütçe girişlerini yapabilmiştik sorunun ukrayna özelinde gerçekleşmesinin bir nedeni v,0
bütçe çalışmaları,bütçesine seyahat birim fiyatlarının kopyalanması rakamlarının aynısı taşıt yakıt kira rakamlarının sisteme getirilmesi bütçede amortisman rakamlarının giderler sayfasında doğru rakamlarla getirilmesi konularında yardımlarınızı rica ederim,2
tm giriş hatası,i̇lker bey in tm ekranında ekte gördüğümüz hatayı almaktayız konu hakkında yardımlarınızı talep ediyoruz gün içinde bütçe girişleri yapılacağı konu önem arz etmektedir,0
mağaza listesi güncellemesi,kira modülünde yeni açılan mağaza isimleri listeye gelmemektedir kitapçık üzerinden girilmesine rağmen listede bir güncelleme oluşmamaktadır desteğinizi rica ederiz,0
